0	1	2
drcfffgd	taciiaff	1
drbdabed	tachgeca	1
drbdabed	tachgecg	1
drbdabed	tachgeci	1
drbceffi	tacijhhc	1
drbdajcg	tachjfib	1
drbdajcg	tachjfbh	1
drbdahag	tacheich	1
drbcjhab	tachegce	1
drcehihd	tacjeffb	1
drcehihd	tachgfjb	1
drcehihd	tachibei	1
drcccdeg	tacicgjj	1
drbacagi	tacijhfi	1
drbdbgbi	tachfffe	1
drbdbgbi	tacicjgj	1
drbdbgbi	tacibaha	1
drbdbgbi	tachibcf	1
drbdaefb	tacicjea	1
cobahgc	tachgecg	1
cobahgc	tachgeca	1
drcefegg	tacheich	1
drbcfaii	tachjiei	1
drcfcfaa	tacheich	1
drcgdgcg	tacihfid	1
drbdaccf	tacheich	1
cobbbab	tacheich	1
drbddege	tacjadbf	1
drbddege	tachghdb	1
drcefcfd	tacibbfe	1
drbdafff	tacihdhf	1
dibfaaa	tacjaiie	1
dibfaaa	tachibei	1
drbcehff	tacheich	1
drbchagc	tacjbhbf	1
drcfeihi	tacjcgff	1
drcfeihi	tachhihe	1
drcfeihi	tacjabeg	1
drcfeihi	tachghdb	1
drcfeihi	tacjeffb	1
drcfeihi	tachgigj	1
drcfeihi	tacihjac	1
drcfeihi	tacijajc	1
drcfeihi	tacihiji	1
drbibidg	tachffdb	1
drcefefd	tacibddj	1
drcfgbie	tacihgaa	1
drbdddih	tachffdb	1
drcfjhgj	tacihjdc	1
drcfjhgj	tacjeaaj	1
drcfjhgj	taciaaid	1
drcfjhgj	tacheiai	1
drcfffei	tachfhhd	1
drcfjhgj	tacjabeg	1
drcfjhgj	tachigie	1
drcfjhgj	tacjciab	1
drcfjhgj	taciaaih	1
drcfgaja	tacibgga	1
drbbbbaa	tacihfid	1
drcfiebc	tachjfic	1
dibeiij	tacjaaed	1
dibeiij	tachjgic	1
drbdbiad	tachgeji	1
gohch	tacheich	1
driiabb	tachgeji	1
drcgbdce	tachigjc	1
goeiad	tacidaaa	1
drbcgfdj	tachgeca	1
drbcgfdj	tachgecg	1
drbcgfdj	tachgeci	1
drbcgfdj	tachffdb	1
drbcjhhf	tacheich	1
drbcjhhf	tacjeffb	1
drcgagcb	tachjghb	1
drcfdhag	tacicggc	1
drcfdhag	tachjfic	1
gobfej	tachigie	1
drcfejdg	taciieag	1
drbcdjie	tacjeffb	1
drbcdjie	taciagee	1
drbcdjie	tacidaaa	1
drbcdjie	tacjefdd	1
drbabidg	tachejag	1
drbcghgb	tachgeca	1
cobcecc	tacheich	1
drbbbhcj	tachffdb	1
cobbbab	tacibaha	1
cobbbab	tachfffe	1
cobbbab	tacijajb	1
cobbbab	tacidaca	1
cobbbab	taciaiaf	1
drbceega	tacihabd	1
drbcjiha	tachegdh	1
drbcjiha	tachegdf	1
drbcjiha	tachegdg	1
gohgca	tacibaie	1
drcefgac	tacidaaa	1
drceibgg	tachjfib	1
goccif	tacjacji	1
goccif	tachjfib	1
goccif	tachfcaa	1
goccif	taciibci	1
gogfib	tacibaha	1
gohgca	tachiccf	1
gogfib	tacicjgj	1
gogfib	tachfffe	1
drcgbccc	tachhhjf	1
drcfjjih	tachgeca	1
drbddeij	tachffdb	1
drbddgde	tachgeca	1
drbcjgag	tachefji	1
drbcjgag	tachefjj	1
drbcjgag	tachegaa	1
drbcjgag	tachggba	1
drcfdjgb	tachfcaa	1
drbdaebj	tacidaaa	1
drbcffgb	tacheich	1
drbdabcg	tacheich	1
drcfeigb	tacjcgff	1
drcfeigb	tacheich	1
gobjce	tachiaii	1
gocaig	tacighca	1
drcehceh	tacibaha	1
drcehceh	tacicjgj	1
drcehceh	tachfffe	1
drbagiff	tachffdb	1
drceedbb	tacidhgh	1
drbagiff	tacjchbc	1
drbcfgfb	tacheeai	1
drbcgije	tachjehh	1
drbdabdj	tachfagg	1
drbdabdj	taciggde	1
drbddddf	tacjcgff	1
drbddddf	tacicaga	1
drbddddf	tacieghe	1
drjfcih	tachigjd	1
goccac	tachgeca	1
goccac	tachgecg	1
goccac	tachgeci	1
drbddbia	tacheich	1
drbdefje	tacheich	1
drbcfahb	tacicgje	1
drbcfahb	tachiaaj	1
drcgcjia	tacheeai	1
drcfjjjg	tacjcgff	1
drcfjjjg	tacicgbb	1
drcfcdhg	tachffdb	1
drcgcgbj	tachffdb	1
drcfeiaa	tachgefb	1
drcgchcb	tachegdg	1
drbdajda	tachhihe	1
drbdajda	tacibgga	1
drcffaif	tacjeadd	1
drcgaaag	tachjfib	1
drbddfbd	tachffdb	1
drbddfbd	tacheich	1
goihcb	tacheich	1
cobafed	tachjfib	1
cobafed	taciibcd	1
cobafed	tacjacji	1
cobafed	tachghdb	1
drbcegef	taciffei	1
drcgchih	tacheich	1
goijea	tacjcdcg	1
goijea	taciafai	1
cobbdcg	tacihabd	1
cobbdcg	tacjcgff	1
drbadigi	tachgeji	1
drbcjfgc	tachffdb	1
drbchgfj	tachegdf	1
drbbaiji	tachfcaa	1
drbcebeh	tachghbj	1
drcffche	tacibaie	1
drhfhic	tachfcaa	1
drbceijc	tachfcaa	1
gofeha	tacheiag	1
drceieeb	tacieggc	1
dibeeee	tacidgie	1
gochif	tacjedhe	1
gochif	tacibhje	1
drcbagja	tachhahf	1
drcccjgf	tacibbeb	1
drceicch	tacihabd	1
drcccdaa	tachiegj	1
drcccdaa	tachjdbj	1
drccbdeg	tachfbbb	1
drbddegb	tachgaba	1
drbddegb	tacjcdjh	1
drbddegb	tacjbjbf	1
drbddegb	tachfhhg	1
drcccejj	tacibahb	1
drcfhcda	taciacha	1
godcge	tachgecg	1
drcgadca	tacidgie	1
drcfdfdj	tacifaja	1
drbddeea	tachedhd	1
drcbadfi	taciedjd	1
drceicdb	tacjbfgj	1
drbfchgj	tacighea	1
drceigab	taciiage	1
drhdhcb	tacifhbb	1
drhdhcb	tacifhbd	1
gofad	tacheiaa	1
drbdddgh	tacjcegd	1
drbgbje	tacichaa	1
drbddeah	tachfgha	1
drbddeah	tacjdajh	1
drbddeah	tacibejb	1
drgihbi	taciifbb	1
drcehieb	tacheiai	1
drceieag	tachechf	1
drhcccc	tacheebi	1
drhcccc	tacicaag	1
drcbajdb	tacijajb	1
drbdddhg	tacicija	1
drcccigb	tacjehih	1
drcejbgj	tacihffh	1
drjcjgg	taciieag	1
drcffgjg	tacjaffb	1
drbddbfc	tachgecg	1
drcdadbb	tachedgb	1
drcfidfj	tacjeaaj	1
drbdddbe	taciaeef	1
drbdddbe	taciibdf	1
drbdddbe	taciibdc	1
drbdddbe	tacjabha	1
drcfifag	tacihdig	1
drccceda	tacijeeg	1
drcccgce	taciecdc	1
drceichb	taciiiid	1
drccchjh	tacibbdg	1
dibefab	tacichdg	1
drceidaf	tachecgc	1
drhcjaa	tachgecg	1
dibehif	tachjjhb	1
drceifif	taciiajf	1
drigaai	tacihabf	1
drcccgjd	tacibbdg	1
drcfiefg	taciecdc	1
drfjjed	tacieacb	1
driidih	tacjbifc	1
driidih	tacijbii	1
driidih	tacibicj	1
driidih	tacijbid	1
driidih	tacifdjj	1
driidih	tacjbidj	1
drcajhgi	taciehgj	1
drbhcii	tacjbjbi	1
drcccfee	taciieag	1
drbjdjda	taciifbc	1
drcgbeff	taciecji	1
drcfiejd	tacidhef	1
drjdbce	tachggba	1
drccbiha	tacjehif	1
drccbigd	tachjhce	1
drbddddc	tacifhbd	1
drcccjjf	tacibbhe	1
drcccjjf	tacibbgg	1
drccciac	tacifhbb	1
drcccdbg	taciicae	1
gobaa	taciidhj	1
drhegfh	tacijbid	1
drcbfccf	taciifbc	1
gocbge	taciijgb	1
drceidja	tachiadc	1
drcfidgg	tacighgf	1
dreecea	tacihgec	1
dreecea	tachgada	1
dreecea	tachieab	1
drbdaffg	tachfccb	1
drbdaffg	tacjcdeb	1
drbdaffg	taciigab	1
drcccfhh	tacjbfgj	1
drccbhja	taciehgj	1
drcfgbcj	tacjeace	1
drcfgbcj	tacjeadd	1
drcfgbcj	tacjeadh	1
drcfgbcj	tacjeadj	1
drcfgbcj	tacjeach	1
drcfgbcj	tacjeadi	1
drcfgbcj	tacjeacd	1
drcfgbcj	tacjeacc	1
drcfgbcj	tacjeacb	1
drcccfbd	tachijfj	1
drccffe	tacifiaa	1
drcccdje	tacjbfgj	1
drbjfgai	taciaaba	1
drceiccc	tacjbfgj	1
dibdiei	tachejcf	1
drcgbjcb	taciiaij	1
drccciii	tachejfj	1
drcffeee	tacidgie	1
drcffefd	tacheeai	1
drjfjaj	tacibaie	1
drcejfjc	taciiaij	1
drbdajgi	tacijheh	1
drbcfadb	taciaaba	1
drbcfadb	tachgecg	1
drbcfadb	tacibghe	1
drbcfadb	tacijbid	1
drbcfadb	tachhjih	1
drbcfadb	tachgfij	1
drbcfadb	tachebjc	1
drbcfadb	tacifhaj	1
drbcfadb	taciaijc	1
drbcfadb	tachidfh	1
drcccjhj	tachjfib	1
drcccjhj	taciieag	1
drceicaa	tacjbfgj	1
drcccgch	taciecdc	1
drcbiiae	tacieghe	1
drcccgjj	tacibbdg	1
drcbbaed	taciaaid	1
drbcehaa	taciecdc	1
driicaf	tacihabf	1
driicaf	tacihabd	1
drcgbjcc	taciebgc	1
drcfiegg	tacihabd	1
drcfiegg	tacihabf	1
driaiid	tachjdbj	1
driaiid	tachiegj	1
drcfjebb	tacijbid	1
drbchbgd	tacibdgb	1
drbchbgd	tacjbfgj	1
drcajdch	tachgecg	1
drcccibg	tachjaib	1
drcccehc	taciiccj	1
drccdabg	tachhjbb	1
drcccieh	tacihabb	1
drcfjhif	tacibiac	1
drcfjhif	tachihhd	1
drcfjhif	tacihabi	1
drcfjhif	tacibfaa	1
drcfjhif	tachffai	1
drcfjhif	tacjcdeb	1
drcfjhif	tacibaea	1
drcccgcj	tacihgab	1
drcbjia	taciedai	1
drceicec	tachfcdb	1
dibdjca	tacihifc	1
dibdjca	tacjcegg	1
drbddccc	taciecdc	1
drcfhahg	tacijeca	1
drcgcfch	tacibgga	1
drcgcfch	tachedih	1
drcgcfch	tachhjbb	1
drcgcfch	tachieca	1
drcgcfch	tachhicc	1
drcgcfch	tachhdef	1
godeb	tacifhbd	1
godeb	tacifhaj	1
godeb	tacifhbb	1
drcccdbd	tacjabbf	1
drcccicf	tachijfj	1
drbdddfi	tacibfic	1
drbdddfi	taciifbc	1
drbdddfi	taciaijd	1
drbdddfi	tacheiaa	1
drcccfea	tacigjee	1
drbdgdeg	tacihdig	1
drbdgdeg	taciciie	1
drbdgdeg	tacjbjbd	1
drbdgdeg	taciecee	1
drbdgdeg	tacibbdg	1
drbdgdeg	tachhjdc	1
drbdgdeg	tachhaaa	1
drbdgdeg	tacihdhe	1
drbdgdeg	tacihage	1
drbdgdeg	taciibai	1
drhdjbe	tacigfga	1
drcccgij	taciieag	1
drjiijb	tacieaai	1
gogad	tacjcicb	1
drbdbcdi	tacheiaa	1
drijbdf	tacheiaa	1
drcfieec	tacifhbd	1
drcfieec	tacifhaj	1
drceieed	tabdafd	1
gobbge	tachjeja	1
drcccege	tacheeac	1
drcffhif	taciiacd	1
drhjfeg	tacifhbb	1
drhjfeg	tacifhaj	1
drhjfeg	tacifhbd	1
drcccgjc	taciidhj	1
gobggi	taciegfg	1
drcejbee	tacibbdg	1
drcejbee	tachhaag	1
drcgbgff	tacijeeg	1
gogdaa	tacigaag	1
drcfgecc	tacheiai	1
drhiegg	tacibahb	1
drjcjja	taciaadg	1
drjcjja	taciaadj	1
drcfdbaa	taciegeh	1
drcffehh	tacjadbf	1
drccdabi	taciaeie	1
dibecee	taciieag	1
drcffeec	tacibghe	1
drcffeec	taciecji	1
drcffeec	tachfjbj	1
drcgciec	tacihcac	1
drcgciec	taciaijd	1
drcfieed	tacifhbd	1
drcfieed	tacifhaj	1
drcgcabi	tacihbic	1
gohfb	tachehdb	1
drcccchi	tacjeaah	1
drcccbfj	tachgecg	1
drcbahdh	taciifbb	1
drceifjc	tacieghb	1
drcccghg	tachhaaa	1
drcccdjc	taciaijd	1
drcgafcc	taciebhg	1
drceidid	tachefba	1
drbddefb	tacijbij	1
drbddefb	tacijbid	1
drbddefb	tacijbii	1
drcccjge	tacheiaa	1
drcgaijb	tacibijf	1
drceicbi	tacjcdjh	1
drcccejg	tachiacf	1
drhecef	taciiegg	1
drhecef	tachegeg	1
drhecef	tachegef	1
gobfie	taciidhj	1
drefaja	tacheieb	1
drcdadca	taciecch	1
drcdadca	tachhaag	1
drcfdbab	tachegaa	1
gobjbg	tacheiaa	1
dibdjgh	tacibaea	1
drhfjda	tacifhbd	1
drdfbaf	tachgggf	1
drdfbaf	tachfhgj	1
drcccega	tacifhaj	1
drhcadh	tacihfce	1
drbcjfhg	tachgcja	1
drceigaa	tachiacf	1
drcccdfb	taciiegg	1
drbcghbc	tacieegh	1
drehjgd	tachfjba	1
drehjgd	tacighgf	1
drehjgd	tacibbeb	1
drehjgd	taciiafc	1
drehjgd	tachjhac	1
drcccibc	taciiaij	1
drcccdgc	taciejig	1
drcccfai	tachhbfa	1
drcccich	tacibfaa	1
drcbajcb	tacibbgg	1
drddhci	tacheeai	1
drhbhje	tacihjgd	1
godcfi	tacjbfgj	1
godcfi	tacjbcia	1
drcccibb	taciciga	1
drcbaeda	tacjeaaj	1
drcfhbai	tacifggj	1
drbaeece	tacibieg	1
drcfhcdc	tachijai	1
drceidib	taciecdc	1
drcbdigg	tacjebdf	1
drcbdigg	taciaebg	1
drcbdigg	tachedga	1
drcbdigg	tachjgfe	1
drceiech	tachhaaa	1
drcffbif	taciidhj	1
drjiagg	tacifhbd	1
drjiagg	tacifhbb	1
drhdhah	tachhijb	1
drhdhah	tacifiai	1
drceifib	taciebhg	1
gobgac	tacihcac	1
gobgac	tachejhj	1
gobgac	tacibhje	1
drbbbhgf	tachjgjh	1
drbbbhgf	taciefea	1
drceidei	tacifiig	1
drbcgfbc	tachgecg	1
drccbjba	tachgecg	1
drceigch	tacheeai	1
gobgij	tacifhbd	1
godbga	tachfbgi	1
drceifgj	tacjcibf	1
drcffegf	tachiacj	1
drcfieha	tacieahi	1
drcccifi	taciieag	1
drefigi	taciahfi	1
drbcjfbf	tacjeaaj	1
drcccjje	tacifggj	1
drccceab	taciecdc	1
drcccfab	taciejig	1
drceiccj	tachgecg	1
drhbbej	tachhaaa	1
drcbadgj	tacicjhd	1
drceieef	tachijhj	1
drceidcc	tacigjhh	1
drcccfhd	tacjbfgj	1
drceigcc	tacieeha	1
drcgdbhj	taciaaid	1
drbbbhdb	tacihaaj	1
drbbbhdb	tacibdge	1
drbbbhdb	taciiajf	1
drcbahdg	taciifbc	1
drcbahdg	taciifbb	1
drceiecb	tachghfa	1
drccbigj	tacibieg	1
drbdafef	taciafba	1
drbdafef	tacijbid	1
drbdafef	taciahfi	1
drbdafef	tachhced	1
drbdafef	tachehdg	1
drbdafef	tachfhdd	1
drbdafef	tacijcjc	1
drbdafef	tachegba	1
drbdafef	taciafeb	1
drbdafef	tacjcgff	1
drbdafef	tacheedi	1
drcfffjc	tacibied	1
driheha	tacifhbd	1
drccceeh	tachfigb	1
drceifce	tacjebaj	1
drceifce	tachijhj	1
drcfhcah	tachjggi	1
drcccfba	tacibahb	1
drcfhbji	taciifbc	1
drceiejc	tacieghb	1
drcgchhc	taciecdc	1
drceiecc	tachghfa	1
drcbadhi	tacifaai	1
drcccjbe	tacibiih	1
drccceae	tachiada	1
drceibig	tacieghb	1
drcgcaaj	tachgcah	1
drceicga	taciaafb	1
drcehjdi	tacihdhe	1
dibeiia	tacibaea	1
dibeiia	taciafba	1
drcccjie	tachfgjh	1
drccbibf	tachfcdb	1
drcfcbie	tacheiaa	1
drcfcbie	tachehji	1
drcbfbfd	tacidgbg	1
drceigfc	tachjech	1
drcbabde	tacihbhc	1
goedcf	tacifhja	1
drhdech	taciecji	1
drcccgda	tacihgab	1
drcccdec	tacheeai	1
drbddcdj	tacihifc	1
drdbfii	tacihjcf	1
drcccjff	taciieag	1
drcccijd	taciaebg	1
drcfiega	taciebgc	1
drbdabei	tacjaffb	1
drccbjaa	tachgecg	1
drcfefcb	tacjecfb	1
drcfefcb	tacicidg	1
drcccfha	tacjbfgj	1
drcbgjdd	taciieag	1
drceibha	taciaaid	1
drceibha	taciaaie	1
drceibha	taciaaig	1
drbcjjfc	taciiaij	1
drbcjjfc	taciahdj	1
drccbiah	taciaica	1
drcbfcfd	taciifbc	1
drceidfa	tacieghb	1
drcccedh	tacijajb	1
drcccedh	tachfbia	1
drcccedh	taciefhd	1
drcfgjjh	tacjcegd	1
drcfffhg	tachfdhb	1
drcffgij	tacidich	1
drcgdhgb	tacibbgg	1
drcgdhgb	tacibbgh	1
drceieab	tachhbgb	1
drcfiejb	tacifhbb	1
drcffgjh	tachjgie	1
drbhhdg	tachhahf	1
drceibjf	tacibghe	1
drcbagjb	taciifbc	1
drcffefc	tachefba	1
drcccgdc	tacihgab	1
drcccdbb	tacifggj	1
drbchfah	tachfcaa	1
drcccbib	tachgecg	1
drbcjaai	taciiaij	1
drbcjaai	taciibai	1
drbcjaai	tachfgdf	1
drbcjaai	taciecch	1
drbcjaai	tacjciad	1
drbcjaai	tachhabd	1
drbcjaai	tacijajb	1
drbcjaai	taciecda	1
drccchja	tachhfab	1
driichf	tacibbfd	1
drcccgab	taciaadj	1
drbjdhhb	tachfafg	1
drceidbj	tacighjc	1
drcfiejf	tachfcdb	1
